step	accumulated_step	loss	perplexity	ttt_step_time	score_seq_time	eval_step_time	plddt	tm_score	lddt
0	0			4.76837158203125e-07	0.0	0.4790482521057129	32.170249938964844		0.2383770690457791
1	64	2.603515625		4.26982045173645	0.0	0.4738881587982178	31.050983428955078		0.24554908847326265
2	128	2.44921875		4.28393030166626	0.0	0.47328901290893555	30.597206115722656		0.2513381590252331
3	192	2.5546875		4.283682584762573	0.0	0.47309136390686035	30.242258071899414		0.24918872469117384
4	256	2.466796875		4.3032331466674805	0.0	0.47327756881713867	31.226024627685547		0.2518009197119125
5	320	2.4140625		4.299543857574463	0.0	0.47283506393432617	47.34471130371094		0.4198224971493516
6	384	2.31640625		4.319631576538086	0.0	0.47391843795776367	36.32444763183594		0.33759783190012643
7	448	2.111328125		4.321906089782715	0.0	0.4736745357513428	49.10541915893555		0.4365060900391628
8	512	2.185546875		4.348689079284668	0.0	0.4734368324279785	48.531158447265625		0.42713279878065513
9	576	2.015625		4.335627317428589	0.0	0.47355127334594727	59.933006286621094		0.5904076288934266
10	640	1.908203125		4.344248533248901	0.0	0.4739241600036621	57.018314361572266		0.5869029189726177
11	704	1.60546875		4.345171928405762	0.0	0.4727451801300049	65.50025939941406		0.712079006410371
12	768	1.9375		4.3484413623809814	0.0	0.4733593463897705	60.60105514526367		0.604279462018047
13	832	1.833984375		4.583291292190552	0.0	0.47289609909057617	71.87359619140625		0.7064486708970688
14	896	1.890625		4.3261353969573975	0.0	0.47351551055908203	70.0545654296875		0.6958537404761105
15	960	1.7236328125		4.340356349945068	0.0	0.47351861000061035	82.83734893798828		0.7992341570376683
16	1024	1.3134765625		4.350223541259766	0.0	0.4738001823425293	71.63837432861328		0.67883976661947
17	1088	1.73046875		4.350598573684692	0.0	0.47272634506225586	84.78487396240234		0.8067813951951784
18	1152	1.9990234375		4.339502334594727	0.0	0.4741508960723877	82.15592193603516		0.7852354753244938
19	1216	1.8330078125		4.350417613983154	0.0	0.4733729362487793	88.6444320678711		0.968999687623649
20	1280	1.5595703125		4.582550764083862	0.0	0.4729616641998291	77.59270477294922		0.869043733818599
