step	accumulated_step	loss	perplexity	ttt_step_time	score_seq_time	eval_step_time	plddt	tm_score	lddt
0	0			4.76837158203125e-07	0.0	0.5407676696777344	81.16261291503906		0.5367325862897556
1	64	2.48046875		4.385634899139404	0.0	0.4017765522003174	80.70309448242188		0.5390329693095551
2	128	2.5234375		4.129208326339722	0.0	0.3982579708099365	76.09308624267578		0.5744951758497691
3	192	2.1640625		4.129106760025024	0.0	0.3989565372467041	81.68000793457031		0.5277316878679443
4	256	2.05078125		4.197856187820435	0.0	0.40618300437927246	74.75801849365234		0.5148202640628118
5	320	1.798828125		4.196187496185303	0.0	0.40129804611206055	79.4895248413086		0.5176803961651317
6	384	1.9921875		4.195540904998779	0.0	0.39804601669311523	86.38584899902344		0.904346284991216
7	448	1.634765625		4.199345111846924	0.0	0.39725351333618164	82.4931640625		0.5236480663168801
8	512	1.509765625		4.200410604476929	0.0	0.40137267112731934	85.16533660888672		0.9826706616086708
9	576	1.498046875		4.205437660217285	0.0	0.3994300365447998	85.09928131103516		0.8538774844785195
10	640	1.2939453125		4.1972527503967285	0.0	0.39893603324890137	71.71146392822266		0.4874175064169505
11	704	1.271484375		4.2052531242370605	0.0	0.39893484115600586	85.22925567626953		0.8673618554299065
12	768	0.861328125		4.2118895053863525	0.0	0.39704179763793945	83.91777801513672		0.8780812356354004
13	832	1.7158203125		4.214080333709717	0.0	0.39690399169921875	85.00988006591797		0.8580293403367241
14	896	1.16015625		4.217007637023926	0.0	0.39539384841918945	83.16967010498047		0.8663990940334796
15	960	1.5654296875		4.205258131027222	0.0	0.395188570022583	84.50279998779297		0.8653739914421561
16	1024	1.4853515625		4.203776836395264	0.0	0.3956623077392578	83.22466278076172		0.8652504494020854
17	1088	1.732421875		4.214897394180298	0.0	0.39655184745788574	84.20768737792969		0.8597035463979988
18	1152	2.12109375		4.217896223068237	0.0	0.39726948738098145	84.10775756835938		0.8630692643100788
19	1216	1.015625		4.223967552185059	0.0	0.39618420600891113	83.72685241699219		0.8690443695459177
20	1280	1.3466796875		4.2231125831604	0.0	0.3970766067504883	84.01954650878906		0.8648195540245764
