step	accumulated_step	loss	perplexity	ttt_step_time	score_seq_time	eval_step_time	plddt	tm_score	lddt
0	0			4.76837158203125e-07	0.0	0.9321775436401367	63.13481140136719		0.6732736688868204
1	64	2.81640625		8.462309122085571	0.0	0.9267051219940186	72.51705169677734		0.7785626503553702
2	128	2.62109375		8.49389386177063	0.0	0.9324846267700195	74.14871215820312		0.7087682720391516
3	192	2.08984375		8.50237226486206	0.0	0.9257416725158691	70.24545288085938		0.6872742835617944
4	256	1.73828125		8.641940116882324	0.0	0.9251980781555176	73.65995788574219		0.7276762113192528
5	320	1.5205078125		8.48232889175415	0.0	0.9267797470092773	77.2170639038086		0.7329396859382317
6	384	1.046875		8.445519208908081	0.0	0.9283413887023926	64.07650756835938		0.6924861117424945
7	448	1.375		8.473824739456177	0.0	0.9299812316894531	78.10279846191406		0.7150086792904348
8	512	0.7666015625		8.494469165802002	0.0	0.9250938892364502	76.86820220947266		0.8235263339063094
9	576	0.67529296875		8.504975318908691	0.0	0.9265613555908203	69.86683654785156		0.7332522152174358
10	640	0.5400390625		8.500558614730835	0.0	0.9263839721679688	78.3940200805664		0.8299571494631827
11	704	0.37548828125		8.461950063705444	0.0	0.9290032386779785	76.32479095458984		0.7121417035881358
12	768	0.369873046875		8.48953104019165	0.0	0.9287054538726807	71.48797607421875		0.7459056094079783
13	832	0.24755859375		8.489720106124878	0.0	0.9284701347351074	73.47087097167969		0.7390611080223694
14	896	0.119140625		8.487373352050781	0.0	0.9318995475769043	80.44493103027344		0.8088774137137668
15	960	0.1861572265625		8.469035625457764	0.0	0.9127068519592285	69.61991882324219		0.6629362053544409
16	1024	0.0206298828125		8.426619052886963	0.0	0.914391040802002	67.65827178955078		0.6460119540668747
17	1088	0.01416015625		8.441540002822876	0.0	0.9139258861541748	69.04882049560547		0.6700391663656177
18	1152	0.336669921875		8.42554521560669	0.0	0.9143037796020508	80.2095947265625		0.8135358529672453
19	1216	0.08355712890625		8.427160739898682	0.0	0.9131979942321777	74.57823944091797		0.721982785193227
20	1280	0.03955078125		8.42907166481018	0.0	0.9139549732208252	78.16572570800781		0.7310410543027946
