step	accumulated_step	loss	perplexity	ttt_step_time	score_seq_time	eval_step_time	plddt	tm_score	lddt
0	0			4.76837158203125e-07	0.0	0.4049239158630371	41.026126861572266		0.369652116285923
1	64	2.509765625		4.259162902832031	0.0	0.40450549125671387	39.70762634277344		0.3646488454967075
2	128	2.578125		4.273828983306885	0.0	0.4050290584564209	41.6304817199707		0.4413037091098266
3	192	2.291015625		4.2891035079956055	0.0	0.4076704978942871	44.649261474609375		0.47072700994702826
4	256	2.24609375		4.277393341064453	0.0	0.39956164360046387	48.53925704956055		0.564616440658406
5	320	1.8330078125		4.26974892616272	0.0	0.4048595428466797	57.5758056640625		0.6236390111403446
6	384	2.09765625		4.273313522338867	0.0	0.4029276371002197	50.07666015625		0.506505805887106
7	448	1.443359375		4.285001277923584	0.0	0.4028968811035156	40.80548858642578		0.5031814565151436
8	512	1.283203125		4.286214828491211	0.0	0.4048178195953369	66.26074981689453		0.4139818207192368
9	576	1.408203125		4.289355516433716	0.0	0.4050865173339844	44.76926040649414		0.4585911941394248
10	640	0.90576171875		4.28051495552063	0.0	0.40579938888549805	42.39613723754883		0.43695633173574905
