step	accumulated_step	loss	perplexity	ttt_step_time	score_seq_time	eval_step_time	plddt	tm_score	lddt
0	0			4.76837158203125e-07	0.0	1.3091175556182861	36.47736740112305		0.4655482177913734
1	64	2.51953125		4.872475624084473	0.0	1.06821608543396	37.14143371582031		0.48093908121653506
2	128	2.611328125		4.893675088882446	0.0	1.0676288604736328	37.41432571411133		0.4648058375379027
3	192	2.5234375		4.9031946659088135	0.0	1.0669775009155273	37.54003143310547		0.46336328403978894
4	256	2.4375		4.909337282180786	0.0	1.315183162689209	39.306026458740234		0.44965119037601103
5	320	2.59375		4.91742730140686	0.0	1.0693256855010986	40.2038459777832		0.5236018552533387
6	384	2.462890625		4.9093687534332275	0.0	1.0673766136169434	59.1746940612793		0.7251310411724705
7	448	2.318359375		4.913150310516357	0.0	1.0681860446929932	82.98480224609375		0.8767261524969155
8	512	2.203125		4.914134979248047	0.0	1.0674998760223389	82.54621124267578		0.8803795224764714
9	576	2.11328125		5.16301417350769	0.0	1.0690457820892334	77.42850494384766		0.831375476048804
10	640	1.9814453125		4.887059926986694	0.0	1.0677580833435059	74.67655944824219		0.8386454072529632
11	704	2.0703125		4.903367042541504	0.0	1.0673496723175049	83.8288345336914		0.9113523669868243
12	768	1.8251953125		4.906555652618408	0.0	1.0663032531738281	82.38536834716797		0.9081003784665782
13	832	1.630859375		4.915861368179321	0.0	1.0660946369171143	82.66030883789062		0.881258852298104
14	896	1.625		4.912569046020508	0.0	1.0664143562316895	86.4590835571289		0.936032723565292
15	960	1.826171875		4.922028303146362	0.0	1.0662546157836914	86.92863464355469		0.9060023505707135
16	1024	1.8466796875		5.183000326156616	0.0	1.067460060119629	90.53292083740234		0.9039141768324384
17	1088	1.587890625		4.909452199935913	0.0	1.069218635559082	89.01180267333984		0.9032213674935731
18	1152	1.30859375		4.907127618789673	0.0	1.0671555995941162	90.1175765991211		0.9418886680063879
19	1216	1.650390625		4.915266513824463	0.0	1.0664188861846924	91.51163482666016		0.9411479914664004
20	1280	1.818359375		4.920371770858765	0.0	1.0669898986816406	86.8354263305664		0.9051645756875438
